case_number,date,year,country,activity,sex_,age,fatal_yn,species_,Year_2,Type_attack,country_2,Gender2,Ages_2,Months,Fatality
2018.06.25,25-Jun-2018,2018.0,ADMIRALTY ISLANDS,Paddling,F,57,N,White shark,2018,Boat,ADMIRALTY ISLANDS,F,57,Jun,N
2018.06.18,18-Jun-2018,2018.0,AFRICA,Standing,F,11,N,,2018,Unprovoked,AFRICA,F,11,Jun,N
2018.06.09,09-Jun-2018,2018.0,ALGERIA,Surfing,M,48,N,,2018,No_Info,ALGERIA,M,48,Jun,N
2018.06.08,08-Jun-2018,2018.0,AMERICAN SAMOA,Surfing,M,,N,2 m shark,2018,Unprovoked,AMERICAN SAMOA,M,No_Info,Jun,N
2018.06.04,04-Jun-2018,2018.0,AMERICAN SAMOA,Free diving,M,,N,"Tiger shark, 3m",2018,Provoked,AMERICAN SAMOA,M,No_Info,Jun,N
2018.06.03.b,03-Jun-2018,2018.0,AMERICAN SAMOA,Kite surfing,M,,N,,2018,Unprovoked,AMERICAN SAMOA,M,No_Info,Jun,N
2018.06.03.a,03-Jun-2018,2018.0,ANDAMAN / NICOBAR ISLANDAS,Swimming,M,18,Y,Tiger shark,2018,Unprovoked,ANDAMAN ISLANDS,M,18,Jun,Y
2018.05.27,27-May-2018,2018.0,ANDAMAN ISLANDS,Fishing,M,52,N,"Lemon shark, 3'",2018,Unprovoked,ANDAMAN ISLANDS,M,52,May,N
2018.05.26.b,26-May-2018,2018.0,ANGOLA,Walking,M,15,N,"Bull shark, 6'",2018,Unprovoked,ANGOLA,M,15,May,N
2018.05.26.a,26-May-2018,2018.0,ANTIGUA,Standing,M,12,N,,2018,Unprovoked,ANTIGUA,M,12,May,N
2018.05.24,24-May-2018,2018.0,ANTIGUA,Feeding sharks,M,32,N,Grey reef shark,2018,Provoked,ANTIGUA,M,32,May,N
2018.05.21,21-May-2018,2018.0,ARGENTINA,Boogie boarding,M,10,N,,2018,Unprovoked,ARGENTINA,M,10,May,N
2018.05.13.b,13-May-2018,2018.0,ARUBA,Swimming,M,10,N,,2018,Unprovoked,ARUBA,M,10,May,N
2018.05.13.a,13-May-2018,2018.0,ASIA,Fishing,M,21,N,Invalid incident,2018,No_Info,ASIA,M,21,May,N
2018.05.00,May 2018,2018.0,ATLANTIC OCEAN,Feeding sharks,F,34,N,"Tawny nurse shark, 2m",2018,Provoked,ATLANTIC OCEAN,F,34,No_Info,N
2018.05.12,12-May-2018,2018.0,ATLANTIC OCEAN,Surfing,M,,N,,2018,Unprovoked,ATLANTIC OCEAN,M,No_Info,May,N
2018.05.09,09-May-2018,2018.0,ATLANTIC OCEAN,Surfing,M,,N,Shark involvement not confirmed,2018,Questionable,ATLANTIC OCEAN,M,No_Info,May,N
2018.04.30.R,Reported 30-Apr-2018,2018.0,ATLANTIC OCEAN,Swimming,M,,N,,2018,Unprovoked,ATLANTIC OCEAN,M,No_Info,Apr,N
2018.04.28.b,28-Apr-2018,2018.0,ATLANTIC OCEAN,Scuba diving,M,30,N,Tiger shark,2018,Unprovoked,ATLANTIC OCEAN,M,30,Apr,N
2018.04.28.a,28-Apr-2018,2018.0,ATLANTIC OCEAN,Surfing,M,,N,,2018,Unprovoked,ATLANTIC OCEAN,M,No_Info,Apr,N
2018.04.25.b,25-Apr-2018,2018.0,ATLANTIC OCEAN,Surfing,M,,N,Questionable,2018,Questionable,ATLANTIC OCEAN,M,No_Info,Apr,N
2018.04.25.a,25-Apr-2018,2018.0,ATLANTIC OCEAN,Surfing,M,60,N,3 m shark,2018,Unprovoked,ATLANTIC OCEAN,M,60,Apr,N
2018.04.24,24-Apr-2018,2018.0,ATLANTIC OCEAN,Surfing,M,,N,"White shark, 3.5 m",2018,Unprovoked,ATLANTIC OCEAN,M,No_Info,Apr,N
2018.04.23,23-Apr-2018,2018.0,ATLANTIC OCEAN,Fishing,M,32,N,Tiger shark,2018,Unprovoked,ATLANTIC OCEAN,M,32,Apr,N
2018.04.22,22-Apr-2018,2018.0,ATLANTIC OCEAN,Paddle-skiing,M,33,N,"White shark, 2.5 m",2018,Unprovoked,ATLANTIC OCEAN,M,33,Apr,N
2018.04.19,19-Apr-2018,2018.0,ATLANTIC OCEAN,Body boarding,M,29,N,6' shark,2018,Unprovoked,ATLANTIC OCEAN,M,29,Apr,N
2018.04.15.d,15-Apr-2018,2018.0,ATLANTIC OCEAN,Swimming,M,54,N,Juvenile bull shark,2018,Unprovoked,ATLANTIC OCEAN,M,54,Apr,N
2018.04.15.c,15-Apr-2018,2018.0,ATLANTIC OCEAN,Swimming,M,34,,,2018,Unprovoked,ATLANTIC OCEAN,M,34,Apr,nan
2018.04.15.b,15-Apr-2018,2018.0,ATLANTIC OCEAN,Surfing,M,41,N,,2018,Unprovoked,ATLANTIC OCEAN,M,41,Apr,N
2018.04.15.a,15-Apr-2018,2018.0,ATLANTIC OCEAN,Surfing,M,37,N,,2018,Unprovoked,ATLANTIC OCEAN,M,37,Apr,N
2018.04.14,14-Apr-2018,2018.0,ATLANTIC OCEAN,Surfing,M,,N,Tiger shark,2018,Unprovoked,ATLANTIC OCEAN,M,No_Info,Apr,N
2018.04.10.R,Reported 10-Apr-2018,2018.0,AUSTRALIA,Fishing,M,56,N,Shark involvement not confirmed,2018,No_Info,AUSTRALIA,M,56,Apr,N
2018.04.09,09-Apr-2018,2018.0,AUSTRALIA,Windsurfing,nan,,N,2 m shark,2018,Unprovoked,AUSTRALIA,nan,No_Info,Apr,N
2018.04.05,05-Apr-2018,2018.0,AUSTRALIA,Swimming,M,12,N,Bull shark,2018,Unprovoked,AUSTRALIA,M,12,Apr,N
2018.04.03,03-Apr-2018,2018.0,AUSTRALIA,Surfing,M,19,N,White shark,2018,Unprovoked,AUSTRALIA,M,19,Apr,N
2018.03.31,31-Mar-2018,2018.0,AUSTRALIA,Stand-Up Paddleboarding,M,25,N,"Tiger shark, 12'",2018,Unprovoked,AUSTRALIA,M,25,Mar,N
2018.03.14,14-Mar-2018,2018.0,AUSTRALIA,Wading,M,10,N,Wobbegong shark,2018,Unprovoked,AUSTRALIA,M,10,Mar,N
2018.03.09.b,9-Mar-2018,2018.0,AUSTRALIA,Swimming,M,69,N,3.5 m shark,2018,Unprovoked,AUSTRALIA,M,69,Mar,N
2018.03.09.a,9-Mar-2018,2018.0,AUSTRALIA,Surfing,M,18,N,1.8 m shark,2018,Unprovoked,AUSTRALIA,M,18,Mar,N
2018.02.24,24-Feb-2018,2018.0,AUSTRALIA,Scuba Diving,M,38,N,Blacktip shark,2018,Unprovoked,AUSTRALIA,M,38,Feb,N
2018.02.23,23-Feb-2018,2018.0,AUSTRALIA,Swimming,F,55,N,"Juvenile white shark,  2.7 to 3.2 m",2018,Unprovoked,AUSTRALIA,F,55,Feb,N
2018.02.17,18-Feb-2018,2018.0,AUSTRALIA,Kayak fishing for sharks,M,34,N,,2018,Provoked,AUSTRALIA,M,34,Feb,N
2018.02.15,15-Feb-2018,2018.0,AUSTRALIA,Walking,M,35,N,"Bull shark, 2 m",2018,Unprovoked,AUSTRALIA,M,35,Feb,N
2018.02.14,14-Feb-2018,2018.0,AUSTRALIA,Swimming,F,,N,Possibly a wobbegong,2018,No_Info,AUSTRALIA,F,No_Info,Feb,N
2018.02.11,11-Feb-2018,2018.0,AUSTRALIA,Cleaning fish,F,46,N,"Injury believed caused by an eel, not a shark",2018,No_Info,AUSTRALIA,F,46,Feb,N
2018.02.03,03-Feb-2018,2018.0,AUSTRALIA,Snorkeling,M,45,N,Galapagos shark?,2018,Unprovoked,AUSTRALIA,M,45,Feb,N
2018.02.01,01-Feb-2018,2018.0,AUSTRALIA,Spearfishing,M,14,N,2m shark,2018,No_Info,AUSTRALIA,M,14,Feb,N
2018.01.28,28-Jan-2018,2018.0,AUSTRALIA,,M,18,N,Bull shark,2018,Unprovoked,AUSTRALIA,M,18,Jan,N
2018.01.21,21-Jan-2018,2018.0,AUSTRALIA,Spearfishing,M,40s,N,"Bull shark, 3 m ",2018,Unprovoked,AUSTRALIA,M,No_Info,Jan,N
2018.01.14,14-Jan-2018,2018.0,AUSTRALIA,Diving,M,,N,Grey reef shark. 2 m,2018,Unprovoked,AUSTRALIA,M,No_Info,Jan,N
2018.01.13,13-Jan-2018,2018.0,AUSTRALIA,Free diving,M,28,N,"White shark, 3.5 m",2018,Unprovoked,AUSTRALIA,M,28,Jan,N
2018.01.12,12-Jan-2018,2018.0,AUSTRALIA,Surfing,M,20,N,small shark,2018,Unprovoked,AUSTRALIA,M,20,Jan,N
2018.01.05,05-Jan-2018,2018.0,AUSTRALIA,Surfing,M,,N,Wobbegong shark?,2018,Unprovoked,AUSTRALIA,M,No_Info,Jan,N
2017.12.31,31-Dec-2017,2017.0,AUSTRALIA,Surfing,F,54,N,Tiger shark,2017,Unprovoked,AUSTRALIA,F,54,Dec,N
2017.12.30,30-Dec-2017,2017.0,AUSTRALIA,Surfing,F,35,N,,2017,Unprovoked,AUSTRALIA,F,35,Dec,N
2017.12.21,21-Dec-2017,2017.0,AUSTRALIA,Fishing / Wading,M,24,N,Juvenile nurse shark,2017,Provoked,AUSTRALIA,M,24,Dec,N
2017.12.09,09-Dec-2017,2017.0,AUSTRALIA,Snorkeling,F,25,N,Nurse shark. 5',2017,Unprovoked,AUSTRALIA,F,25,Dec,N
2017.11.30.b,30-Nov-2017,2017.0,AUSTRALIA,Scuba Diving,M,26,N,"Tiger shark, female",2017,Unprovoked,AUSTRALIA,M,26,Nov,N
2017.11.30.a,30-Nov-2017,2017.0,AUSTRALIA,Scuba diving,F,49,Y,"Tiger shark, female",2017,Unprovoked,AUSTRALIA,F,49,Nov,Y
2017.11.25.R,Reported 25-Nov-2017,2017.0,AUSTRALIA,2 boats capsized,nan,,Y,Some drowned but other may have been killed by blue sharks,2017,Sea Disaster,AUSTRALIA,nan,No_Info,Nov,Y
2017.11.24,24-Nov-2017,2017.0,AUSTRALIA,Spearfishing,M,25,N,"White shark, 4.6 m",2017,Unprovoked,AUSTRALIA,M,25,Nov,N
2017.11.18,18-Nov-2017,2017.0,AUSTRALIA,Surfing,F,14,N,,2017,Unprovoked,AUSTRALIA,F,14,Nov,N
2017.11.13.R,Reported 13-Nov-2017,2017.0,AUSTRALIA,Surfing,M,24,N,,2017,Unprovoked,AUSTRALIA,M,24,Nov,N
2017.11.13,13-Nov-2017,2017.0,AUSTRALIA,Surfing,M,25,N,2 m shark,2017,Unprovoked,AUSTRALIA,M,25,Nov,N
2017.11.04,04-Nov-2017,2017.0,AUSTRALIA,Night bathing,M,22,Y,Tiger shark,2017,Unprovoked,AUSTRALIA,M,22,Nov,Y
2017.10.31.R,Reported 31-Oct-2017,2017.0,AUSTRALIA,Snorkeling,M,7,N,Cookiecutter shark,2017,Unprovoked,AUSTRALIA,M,7,Oct,N
2017.10.28,28-Oct-2017,2017.0,AUSTRALIA,Surfing,M,31,N,"Wobbegong shark, 1 m",2017,Unprovoked,AUSTRALIA,M,31,Oct,N
2017.10.26,26-Oct-2017,2017.0,AUSTRALIA,Stand-Up Paddleboarding,M,,N,,2017,Unprovoked,AUSTRALIA,M,No_Info,Oct,N
2017.10.23.c,23-Oct-2017,2017.0,AUSTRALIA,Swimming,M,,N,,2017,Unprovoked,AUSTRALIA,M,No_Info,Oct,N
2017.10.23.b,23-Oct-2017,2017.0,AUSTRALIA,Surfing ,M,17,N,,2017,Unprovoked,AUSTRALIA,M,17,Oct,N
2017.10.23.a,23-Oct-2017,2017.0,AUSTRALIA,Swimming,F,60,N,,2017,Unprovoked,AUSTRALIA,F,60,Oct,N
2017.10.22,22-Oct-2017,2017.0,AUSTRALIA,Kayaking / Fishing,F,15,N,"White shark, 4.5 m",2017,Unprovoked,AUSTRALIA,F,15,Oct,N
2017.10.21,21-Oct-2017,2017.0,AUSTRALIA,Kayaking,M,,N,2 m shark,2017,Unprovoked,AUSTRALIA,M,No_Info,Oct,N
2017.10.18,18-Oct-2017,2017.0,AUSTRALIA,Swimming,M,,N,"Spinner shark, 4 to 5 feet",2017,Unprovoked,AUSTRALIA,M,No_Info,Oct,N
2017.10.09,09-Oct-2017,2017.0,AUSTRALIA,Surfing,M,54,N,"Tiger shark, 8 to 10 feet",2017,Unprovoked,AUSTRALIA,M,54,Oct,N
2017.10.05,05-Oct-2017,2017.0,AUSTRALIA,Snorkeling,F,40,N,8' shark,2017,Unprovoked,AUSTRALIA,F,40,Oct,N
2017.10.01,01-Oct-2017,2017.0,AUSTRALIA,Scuba Diving,M,31,,Death may have been due to drowning,2017,No_Info,AUSTRALIA,M,31,Oct,nan
2017.09.25.b,25-Sep-2017,2017.0,AUSTRALIA,Surfing,M,,N,5' shark,2017,Unprovoked,AUSTRALIA,M,No_Info,Sep,N
2017.09.25.a,25-Sep-2017,2017.0,AUSTRALIA,Surfing,M,,N,"White shark, 3.5 m",2017,Unprovoked,AUSTRALIA,M,No_Info,Sep,N
2017.09.24.b,24-Sep-2017,2017.0,AUSTRALIA,Surfing,M,33,,Questionable,2017,No_Info,AUSTRALIA,M,33,Sep,nan
2017.09.24.a,24-Sep-2017,2017.0,AUSTRALIA,Surfing,M,,N,4' to 5' shark,2017,Unprovoked,AUSTRALIA,M,No_Info,Sep,N
2017.09.20,20-Sep-2017,2017.0,AUSTRALIA,Surfing,M,,N,,2017,Unprovoked,AUSTRALIA,M,No_Info,Sep,N
2017.09.16.b,16-Sep-2017,2017.0,AUSTRALIA,Body surfing,M,13,N,"Porbeagle, 1.5 m",2017,Unprovoked,AUSTRALIA,M,13,Sep,N
2017.09.16.a,16-Sep-2017,2017.0,AUSTRALIA,Surfing,M,28,N,,2017,Unprovoked,AUSTRALIA,M,28,Sep,N
2017.09.15.b,15-Sep-2017,2017.0,AUSTRALIA,Scuba Diving,M,25,,,2017,No_Info,AUSTRALIA,M,25,Sep,nan
2017.09.15.a,15-Sep-2017,2017.0,AUSTRALIA,Fishing,M,,N,,2017,,AUSTRALIA,M,No_Info,Sep,N
2017.09.14,Sep-2017,2017.0,AUSTRALIA,Fishing,nan,,N,"White shark, 3.5m",2017,Boat,AUSTRALIA,nan,No_Info,No_Info,N
2017.09.13,13-Sep-2017,2017.0,AUSTRALIA,Surfing,M,18,N,5' to 6' shark,2017,Unprovoked,AUSTRALIA,M,18,Sep,N
2017.09.10.b,10-Sep-2017,2017.0,AUSTRALIA,Swimming,M,,N,,2017,Unprovoked,AUSTRALIA,M,No_Info,Sep,N
2017.09.10.a,10-Sep-2017,2017.0,AUSTRALIA,Surfing,M,35,N,"White shark, 3 to 3.5m ",2017,Unprovoked,AUSTRALIA,M,35,Sep,N
2017.09.06.R,Reported 06-Sep-2017,2017.0,AUSTRALIA,Spearfishing,M,,N,,2017,Unprovoked,AUSTRALIA,M,No_Info,Sep,N
2017.09.03.b,03-Sep-2017,2017.0,AUSTRALIA,"Swimming, poaching abalone",M,,Y,,2017,Unprovoked,AUSTRALIA,M,No_Info,Sep,Y
2017.09.03.a,03-Sep-2017,2017.0,AUSTRALIA,Surfing,M,42,N,,2017,Unprovoked,AUSTRALIA,M,42,Sep,N
2017.09.02.c,02-Sep-2017,2017.0,AUSTRALIA,Swimming,M,,N,Nurse shark,2017,Unprovoked,AUSTRALIA,M,No_Info,Sep,N
2017.09.02.b,02-Sep-2017,2017.0,AUSTRALIA,Swimming,F,,N,,2017,Unprovoked,AUSTRALIA,F,No_Info,Sep,N
2017.09.02.a,02-Sep-2017,2017.0,AUSTRALIA,Surfing,M,17,N,,2017,Unprovoked,AUSTRALIA,M,17,Sep,N
2017.08.29,29-Aug-2017,2017.0,AUSTRALIA,Surfing,M,37,N,"White shark, 3 m",2017,Unprovoked,AUSTRALIA,M,37,Aug,N
2017.08.27,27-Aug-2017,2017.0,AUSTRALIA,Wading,F,3,N,,2017,Unprovoked,AUSTRALIA,F,3,Aug,N
2017.08.26.b,26-Aug-2017,2017.0,AUSTRALIA,Swimming,F,11,,Shark involvement questionable,2017,No_Info,AUSTRALIA,F,11,Aug,nan
2017.08.26.a,26-Aug-2017,2017.0,AUSTRALIA,Canoeing,M,,N,,2017,Unprovoked,AUSTRALIA,M,No_Info,Aug,N
2017.08.23,23-Aug-2017,2017.0,AUSTRALIA,SUP,M,69,N,"White shark, 5' to 7'",2017,Unprovoked,AUSTRALIA,M,69,Aug,N
2017.08.18,18-Aug-2017,2017.0,AUSTRALIA,Spearfishing,M,,N,5' shark,2017,Unprovoked,AUSTRALIA,M,No_Info,Aug,N
2017.08.10,10-Aug-2017,2017.0,AUSTRALIA,Swimming,M,13,N,Possibly a juvenile blacktip shark,2017,Unprovoked,AUSTRALIA,M,13,Aug,N
2017.08.05,05-Aug-2017,2017.0,AUSTRALIA,Snorkeling,F,20,N,"Oceanic whitetip shark, 1.8 to 2 m",2017,Unprovoked,AUSTRALIA,F,20,Aug,N
2017.08.03,03-Aug-2017,2017.0,AUSTRALIA,Fishing,M,34,N,4' shark,2017,Provoked,AUSTRALIA,M,34,Aug,N
2017.08.01,01-Aug-2017,2017.0,AUSTRALIA,Kayaking / Fishing,M,,N,"White shark, 10'",2017,Boat,AUSTRALIA,M,No_Info,Aug,N
2017.07.31,31-Jul-2017,2017.0,AUSTRALIA,Skimboarding,M,15,N,,2017,Unprovoked,AUSTRALIA,M,15,Jul,N
2017.07.29.c,29-Jul-2017,2017.0,AUSTRALIA,Swimming,M,10,,A small shark,2017,No_Info,AUSTRALIA,M,10,Jul,nan
2017.07.29.a,29-Jul-2017,2017.0,AUSTRALIA,,F,12,N,,2017,Unprovoked,AUSTRALIA,F,12,Jul,N
2017.07.27,27-Jul-2017,2017.0,AUSTRALIA,Snorkeling,F,,N,,2017,Unprovoked,AUSTRALIA,F,No_Info,Jul,N
2017.07.26.R,Reported 26-Jul-2017,2017.0,AUSTRALIA,Spearfishing,M,,N,,2017,Unprovoked,AUSTRALIA,M,No_Info,Jul,N
2017.07.24,24-Jul-2017,2017.0,AUSTRALIA,Surfing,M,37,N,,2017,Unprovoked,AUSTRALIA,M,37,Jul,N
2017.07.23.b,23-Jul-2017,2017.0,AUSTRALIA,,F,,N,Sandtiger shark  2',2017,Unprovoked,AUSTRALIA,F,No_Info,Jul,N
2017.07.23.a,23-Jul-2017,2017.0,AUSTRALIA,Swimming,F,,N,Blue shark 6',2017,Unprovoked,AUSTRALIA,F,No_Info,Jul,N
2017.07.22,22-Jul-2017,2017.0,AUSTRALIA,,F,40,N,"""A small shark""",2017,Unprovoked,AUSTRALIA,F,40,Jul,N
2017.07.20.c,20-Jul-2017,2017.0,AUSTRALIA,Swimming,F,8,,Shark involvement not confirmed,2017,No_Info,AUSTRALIA,F,8,Jul,nan
2017.07.20.b,20-Jul-2017,2017.0,AUSTRALIA,Kayaking,M,40,N,"White shark, 11' to 13'",2017,Boat,AUSTRALIA,M,40,Jul,N
2017.07.20.a,20-Jul-2017,2017.0,AUSTRALIA,SUP,M,50,N,"White shark, 8' to 10'",2017,Unprovoked,AUSTRALIA,M,50,Jul,N
2017.07.14.b,14-Jul-2017,2017.0,AUSTRALIA,Surfing,M,,N,"White shark, 9'",2017,Unprovoked,AUSTRALIA,M,No_Info,Jul,N
2017.07.14.a,14-Jul-2017,2017.0,AUSTRALIA,Surfing,M,,N,,2017,Unprovoked,AUSTRALIA,M,No_Info,Jul,N
2017.07.11,11-Jul-2017,2017.0,AUSTRALIA,Kayaking,M,,N,White shark,2017,Boat,AUSTRALIA,M,No_Info,Jul,N
2017.07.09,09-Jul-2017,2017.0,AUSTRALIA,Swimming,M,46,N,"Bull shark, 4' to 5'",2017,Unprovoked,AUSTRALIA,M,46,Jul,N
2017.07.07.R,Reported 07-Jul-2017,2017.0,AUSTRALIA,Fishing,M,32,N,"Tiger shark, 100 kg",2017,Provoked,AUSTRALIA,M,32,Jul,N
2017.07.07,07-Jul-2017,2017.0,AUSTRALIA,Surfing,F,13,N,"White shark, 2.5 m",2017,Unprovoked,AUSTRALIA,F,13,Jul,N
2017.07.02,02-Jul-2017,2017.0,AUSTRALIA,Fishing,nan,,,Shark involvement prior to death not confirmed,2017,No_Info,AUSTRALIA,nan,No_Info,Jul,nan
2017.06.29,29-Jun-2017,2017.0,AUSTRALIA,Fishing,M,,,No shark invovlement ,2017,No_Info,AUSTRALIA,M,No_Info,Jun,nan
2017.06.21,21-Jun-2017,2017.0,AUSTRALIA,Swimming,F,16,N,,2017,Unprovoked,AUSTRALIA,F,16,Jun,N
2017.06.19,19-Jun-2017,2017.0,AUSTRALIA,Surfing,M,,N,,2017,Unprovoked,AUSTRALIA,M,No_Info,Jun,N
2017.06.18.b,18-Jun-2017,2017.0,AUSTRALIA,Swimming,F,14,N,"Bull shark, 4' to 5'",2017,Unprovoked,AUSTRALIA,F,14,Jun,N
2017.06.18.a,18-Jun-2017,2017.0,AUSTRALIA,Body boarding,M,34,N,"Bull shark, 2m",2017,Unprovoked,AUSTRALIA,M,34,Jun,N
2017.06.17,17-Jun-2017,2017.0,AUSTRALIA,Swimming,M,82,N,,2017,Unprovoked,AUSTRALIA,M,82,Jun,N
2017.06.05,2017.06.05,2017.0,AUSTRALIA,Surfing,M,,N,,2017,Unprovoked,AUSTRALIA,M,No_Info,No_Info,N
2017.06.14.R,Reported 14-Jun-2017,2017.0,AUSTRALIA,Feeding sharks,F,,N,,2017,Unprovoked,AUSTRALIA,F,No_Info,Jun,N
2017.06.11,11-Jun-2017,2017.0,AUSTRALIA,Body boarding,M,48,N,"White shark, 4 m",2017,Unprovoked,AUSTRALIA,M,48,Jun,N
2017.06.10.b,10-Jun-2017,2017.0,AUSTRALIA,Surfing,F,,N,Seven-gill shark,2017,Unprovoked,AUSTRALIA,F,No_Info,Jun,N
2017.06.10.a,10-Jun-2017,2017.0,AUSTRALIA,Surfing,M,19,N,,2017,Unprovoked,AUSTRALIA,M,19,Jun,N
2017.06.07.R,Reported 07-Jun-2017,2017.0,AUSTRALIA,Surfing ,M,30,N,"3m shark, probably a smooth hound",2017,Unprovoked,AUSTRALIA,M,30,Jun,N
2017.06.04,04-Jun-2017,2017.0,AUSTRALIA,Spearfishing,M,,N,8' shark,2017,Unprovoked,AUSTRALIA,M,No_Info,Jun,N
2017.06.02,02-Jun-2017,2017.0,AUSTRALIA,Snorkeling,F,32,N,Tiger shark,2017,Unprovoked,AUSTRALIA,F,32,Jun,N
2017.05.30,30-May-2017,2017.0,AUSTRALIA,Touching a shark,F,20,N,3' shark,2017,Provoked,AUSTRALIA,F,20,May,N
2017.05.28,28-May-2017,2017.0,AUSTRALIA,Feeding sharks,M,,N,Tiger shark,2017,Unprovoked,AUSTRALIA,M,No_Info,May,N
2017.05.27,27-May-2017,2017.0,AUSTRALIA,Fishing ,M,73,N,,2017,No_Info,AUSTRALIA,M,73,May,N
2017.05.12,12-May-2017,2017.0,AUSTRALIA,Spearfishing,M,41,N,,2017,Unprovoked,AUSTRALIA,M,41,May,N
2017.05.06.R,Reported 06-May-2017,2017.0,AUSTRALIA,Attempting to lasso a shark,M,29,N,9' shark,2017,Provoked,AUSTRALIA,M,29,May,N
2017.05.06,05-May-2017,2017.0,AUSTRALIA,Snorkeling,M,33,Y,,2017,Unprovoked,AUSTRALIA,M,33,May,Y
2017.05.03,03-May-2017,2017.0,AUSTRALIA,Surfing,F,18,,Shark involvement highly doubtful,2017,No_Info,AUSTRALIA,F,18,May,nan
2017.04.29.d,29-Apr-2017,2017.0,AUSTRALIA,Swimming,F,,N,,2017,Unprovoked,AUSTRALIA,F,No_Info,Apr,N
2017.04.29.c,29-Apr-2017,2017.0,AUSTRALIA,Surfing,M,14,N,,2017,Unprovoked,AUSTRALIA,M,14,Apr,N
2017.04.29.b,29-Apr-2017,2017.0,AUSTRALIA,Surfing,F,33,N,,2017,Unprovoked,AUSTRALIA,F,33,Apr,N
2017.04.29.a,29-Apr-2017,2017.0,AUSTRALIA,Body boarding,M,28,Y,,2017,Unprovoked,AUSTRALIA,M,28,Apr,Y
2017.04.27,27-Apr-2017,2017.0,AUSTRALIA,Body boarding,F,20s,N,,2017,Unprovoked,AUSTRALIA,F,No_Info,Apr,N
2017.04.26,26-Apr-2017,2017.0,AUSTRALIA,Photo shoot,F,,,No shark invovlement - it ws a publicity stunt,2017,No_Info,AUSTRALIA,F,No_Info,Apr,nan
2017.04.22,22-Apr-2017,2017.0,AUSTRALIA,Snorkeling,F,40,N,,2017,Unprovoked,AUSTRALIA,F,40,Apr,N
2017.04.20,20-Apr-2017,2017.0,AUSTRALIA,Swimming,M,,,Shark involvement not confirmed,2017,No_Info,AUSTRALIA,M,No_Info,Apr,nan
2017.04.17.b,17-Apr-2017,2017.0,AUSTRALIA,,nan,,N,,2017,Unprovoked,AUSTRALIA,nan,No_Info,Apr,N
2017.04.17.a,17-Apr-2017,2017.0,AUSTRALIA,Surfing,F,17,Y,White shark,2017,Unprovoked,AUSTRALIA,F,17,Apr,Y
2017.04.14,14-Apr-2017,2017.0,AUSTRALIA,Surfing,M,28,N,"Tiger shark, 12'",2017,Unprovoked,AUSTRALIA,M,28,Apr,N
2017.04.13,13-Apr-2017,2017.0,AUSTRALIA,Surfing,M,17,N,,2017,Unprovoked,AUSTRALIA,M,17,Apr,N
2017.04.12.b,12-Apr-2017,2017.0,AUSTRALIA,Surfing,F,,N,,2017,Unprovoked,AUSTRALIA,F,No_Info,Apr,N
2017.04.12.a,12-Apr-2017,2017.0,AUSTRALIA,Scuba Diving,M,68,,Shark involvement prior to death not confirmed,2017,No_Info,AUSTRALIA,M,68,Apr,nan
2017.04.11,11-Apr-2017,2017.0,AUSTRALIA,Surfing,F,35,N,,2017,Unprovoked,AUSTRALIA,F,35,Apr,N
2017.04.10.b,10-Apr-2017,2017.0,AUSTRALIA,Paddle boarding,F,10,N,,2017,Unprovoked,AUSTRALIA,F,10,Apr,N
2017.04.10.a,10-Apr-2017,2017.0,AUSTRALIA,Swimming,F,21,N,,2017,Unprovoked,AUSTRALIA,F,21,Apr,N
2017.04.06,06-Apr-2017,2017.0,AUSTRALIA,Swimming,M,16,N,,2017,Unprovoked,AUSTRALIA,M,16,Apr,N
2017.04.05,05-Apr-2017,2017.0,AUSTRALIA,Swimming,F,51,N,,2017,Unprovoked,AUSTRALIA,F,51,Apr,N
2017.04.02.b,02-Apr-2017,2017.0,AUSTRALIA,Kakaying,M,39,N,,2017,Unprovoked,AUSTRALIA,M,39,Apr,N
2017.04.02.a,02-Apr-2017,2017.0,AUSTRALIA,Swimming,F,17,N,"Bull shark, 5' to 7'",2017,Unprovoked,AUSTRALIA,F,17,Apr,N
2017.03.27,27-Mar-2017,2017.0,AUSTRALIA,Surfing,M,58,N,,2017,Unprovoked,AUSTRALIA,M,58,Mar,N
2017.03.19,19-Mar-2017,2017.0,AUSTRALIA,Body boarding,M,30,N,,2017,Unprovoked,AUSTRALIA,M,30,Mar,N
2017.03.18,18-Mar-2017,2017.0,AUSTRALIA,Kayaking,M,,N,White shark,2017,Boat,AUSTRALIA,M,No_Info,Mar,N
2017.03.11,11-Mar-2017,2017.0,AUSTRALIA,Spearfishing,M,25,N,10' shark,2017,Unprovoked,AUSTRALIA,M,25,Mar,N
2017.03.09,Reported 09-Mar-2017,2017.0,AUSTRALIA,Washing hands,M,58,N,Lemon shark,2017,Unprovoked,AUSTRALIA,M,58,Mar,N
2017.02.25,25-Feb-2017,2017.0,AUSTRALIA,Snorkeling,F,,N,"Bull shark, 1.5",2017,Unprovoked,AUSTRALIA,F,No_Info,Feb,N
2017.02.24,24-Feb-2017,2017.0,AUSTRALIA,Surfing,M,,N,,2017,Unprovoked,AUSTRALIA,M,No_Info,Feb,N
2017.02.21,21-Feb-2017,2017.0,AUSTRALIA,Body boarding,M,26,Y,,2017,Unprovoked,AUSTRALIA,M,26,Feb,Y
